Designator,Mid X,Mid Y,Rotation,Layer
AE1,147.33,-120.904,270.0,top
C1,117.35,-116.75,90.0,top
C10,125.388761,-132.19075,0.0,top
C12,114.9096,-136.136,270.0,top
C15,113.1396,-137.414,0.0,top
C17,116.583694,-136.443501,180.0,top
C18,113.4364,-129.9972,90.0,top
C2,113.6904,-115.9,0.0,top
C20,123.99644,-125.043108,90.0,top
C21,124.891362,-125.050649,270.0,top
C25,114.554,-129.9972,270.0,top
C26,117.75,-122.434704,90.0,top
C27,124.026037,-127.0,90.0,top
C28,143.9164,-113.276,270.0,top
C29,122.0216,-132.1816,0.0,top
C3,111.9124,-118.0084,90.0,top
C31,113.1396,-136.513363,0.0,top
C5,142.748,-113.292,270.0,top
C6,107.4928,-115.0112,180.0,top
C7,125.644577,-127.45,0.0,top
C8,103.9876,-115.0112,0.0,top
C9,116.748192,-122.419332,270.0,top
D1,138.176,-149.352,270.0,top
D2,109.52,-116.08,90.0,top
D3,108.622182,-121.391514,0.0,top
D5,109.916942,-135.714627,180.0,top
J1,146.812,-146.554,270.0,top
J2,146.8445,-134.362,270.0,top
J3,135.676,-155.956,180.0,top
P1,104.07369,-128.0152,270.0,top
Q2,111.118912,-132.655766,270.0,top
R1,109.98839,-126.783735,180.0,top
R10,121.672041,-122.450588,90.0,top
R2,109.802583,-129.738931,180.0,top
R3,121.448529,-110.452943,0.0,top
R4,110.599114,-112.163682,270.0,top
R5,107.749138,-134.065769,0.0,top
R6,110.309564,-125.217016,180.0,top
R7,119.092225,-114.120342,0.0,top
R8,116.516711,-132.149275,0.0,top
R9,113.037845,-121.828592,180.0,top
SW1,135.9408,-139.7282,0.0,top
U2,115.781452,-110.403601,90.0,top
U3,116.791623,-133.863594,90.0,top
U4,114.563601,-118.5164,180.0,top
U5,119.2984,-127.5416,270.0,top
U6,117.498772,-149.201227,270.0,top
U7,132.680393,-114.188256,0.0,top
U9,105.8672,-109.982,270.0,top
X1,125.468123,-129.929846,270.0,top
